,name,esrb,total_rating
413,Robbotto,3,60
414,Road Redemption,1,76.75
415,Road Rage,6,26.66666667
416,Road Not Taken,3,72.5
417,River City Melee: Battle Royal Special,4,59
418,Risk of Rain,5,85.15000159
419,Risk Urban Assault,4,80
420,Rise of the Tomb Raider,6,85.21209094
421,Rise of The Kasai,6,70
422,Rise & Shine,6,70.87455828
423,Riptide GP: Renegade,4,79.375
424,Riptide GP2,3,70.80945152
425,Rime,4,75.79477636
426,Ride 2,3,76.07142857
427,Ride,3,68.28571429
428,Rez Infinite,4,85.75
429,Reus,4,70.72466538
430,Resident Evil: Revelations,6,76.18564761
431,Resident Evil 7 biohazard,6,89.16985163
432,Resident Evil 6 Remastered,6,75
433,Resident Evil 6,6,68.1144281
434,Resident Evil 5 Remastered,6,85
435,Resident Evil 5,6,79.14987116
436,Resident Evil 4 HD,6,88.52403085
437,Resident Evil 4,6,87.57339555
438,Resident Evil 0,6,75.23353139
439,Renegade,4,54.5
440,Redout: Lightspeed Edition,3,80
441,Red Faction: Guerrilla Re-Mars-tered,6,62.8
442,Red Dead Revolver,6,71.76736494
443,Rebel Galaxy,5,76.03061853
444,Real Farm,3,40
445,Rayman Legends,4,89.08915315
446,Ratchet & Clank,4,84.04697862
447,Rain World,4,61.14550272
448,Railway Empire,3,72.9177042
449,Raiders of the Broken Planet,6,60
450,Raging Justice,5,61.5
451,Rack N Ruin,5,69.9
452,Rabi-Ribi,5,87.66666667
453,RWBY: Grimm Eclipse,5,67.5
454,RIVE,3,77.54545455
455,RESOGUN,4,87.05153676
456,RAID: World War II,6,50
457,R.B.I. Baseball 17,3,60
458,R.B.I. Baseball 15,3,50
459,R.B.I Baseball 18,3,32.5
460,Quiplash,5,71.58352071
461,Quest of Dungeons,4,74
462,Q.U.B.E.,3,68.75975802
463,Q*bert: Rebooted,4,50
464,Pyre,4,87.68735957
465,Puyo Puyo Tetris,4,82.21362955
466,Pure Pool,3,76.25
467,Pure Farming 2018,3,60
468,Pure Chess,3,55
469,Puddle,5,71.125
470,Psychonauts,5,85.6915521
471,Psycho-Pass: Mandatory Happiness,5,59.15826413
472,Prototype 2,6,72.73548696
473,Prototype,6,76.0956354
474,Prominence Poker,5,62.5
475,Project CARS 2,3,77.55449715
476,Project CARS,3,79.25361322
477,Pro Evolution Soccer 2018,3,81.95071651
478,Pro Evolution Soccer 2017,3,79.38530261
479,Prison Architect,6,79.9104475
480,Primal,6,65.01318021
481,Prey,6,77.19010442
482,Premium Pool Arena,3,50
483,Portal Knights,4,75.875
484,Poncho,3,62.5
485,Poi,4,80
486,PlayStation VR Worlds,6,59.5
487,Plants vs. Zombies: Garden Warfare,1,71.86419237
488,Plants vs Zombies: Garden Warfare 2,4,79.85323931
489,PlanetSide 2,5,78.96532557
490,Planet of the Eyes,3,73.33333333
491,Planet of the Apes: Last Frontier,6,60.83333333
492,Plague Road,5,73
493,Plague Inc: Evolved,4,81.18397783
494,PixelJunk Shooter,4,81.26956407
495,PixelJunk Monsters 2,4,78
496,Pixel Gear,4,43.33333333
497,Pix the Cat,3,78.375
498,Pinstripe,4,77.77044995
499,Pineview Drive,4,45
500,Pinball FX3,4,71.875
501,Pinball Arcade,4,75
502,Pillars of Eternity,6,83.34418668
503,Phantom Breaker: Battle Grounds Overdrive,4,78
504,Phantasy Star Online 2,5,77.6
505,Persona 5,6,94.70811435
506,Persian Nights: Sands of Wonders,4,70
507,Perfect,3,50
508,Peggle 2,3,80.82941815
509,Payday 2: Crimewave Edition,6,75.94444444
510,Payday 2,6,75.59143566
511,Past Cure,6,40.21428571
512,Party Hard,6,57.63660894
513,Paranautical Activity,5,59
514,Paragon,5,71.62563749
515,Paladins,5,82.82417203
516,Pac-Man Championship Edition 2,3,78.71428571
517,PLANET ALPHA,5,58.25
518,PAC-MAN 256,3,77.55
519,Oxenfree,5,77.60816892
520,Owlboy,4,89.02839543
521,Overwatch: Origins Edition,5,85.24195251
522,Overwatch - Game of the Year Edition,5,80
523,Overwatch,5,88.11833654
524,Overlord: Fellowship of Evil,5,43.125
525,Overload,5,77.5
526,Overcooked! 2,3,83.33706927
527,Overcooked,3,84.25257495
528,Outlast II,6,72.41236144
529,Outlast,6,77.9231002
530,Oure,3,70
531,Original Journey,3,33.636363
532,Onigiri,6,70
533,Onechanbara Z2: Chaos,6,60
534,One Upon Light,4,60
535,One Piece: Unlimited World Red - Deluxe Edition,5,62.58333333
536,One Piece: Pirate Warriors 3,5,73.20575495
537,One Piece: Burning Blood,5,77.35
538,One More Dungeon,5,60
539,Omega Quintet,5,63.33333333
540,OlliOlli2: Welcome to Olliwood,3,78.42826523
541,OlliOlli,3,74.66015773
542,Oh...Sir!! The Insult Simulator,5,71.125
543,Oh My Godheads,5,59.25
544,Oddworld: New 'n' Tasty,5,79.03461656
545,Octodad: Dadliest Catch,4,72.80627607
546,Oceanhorn: Monster of Uncharted Seas,4,73.42341112
547,Observer,6,76.6656467
548,Obduction,4,74.3371616
549,OK K.O.! Let's Play Heroes,4,68.75
550,OF MICE AND SAND -REVISED-,4,80.25
551,O! My Genesis VR,4,50
552,Numantia,5,50
553,Nuclear Throne,4,81.38095761
554,Nova-111,3,73.42974261
555,Nom Nom Galaxy,3,65.83333333
556,Nobunaga's Ambition: Sphere of Influence â€“ Ascension,5,71.66666667
557,Nobunaga's Ambition: Sphere of Influence,5,80.125
558,No Man's Sky,5,70.66332996
559,No Heroes Here,3,70
560,Ninjin: Clash of Carrots,4,75
561,Ninja Shodown,5,65
562,Nine Parchments,4,72.25
563,Nights of Azure,5,58.16666667
564,Nightmares from the Deep: The Cursed Heart,5,74.1002696
565,Night in the Woods,5,82.12619606
566,Night Trap: 25th Anniversary Edition,5,50
